#cluster	accession	definition	organism	taxid	length
CLSP2744626	YP_003358155	ORF16	Anguillid herpesvirus 1	150286	293
CLSP2744625	YP_003358150	ORF11	Anguillid herpesvirus 1	150286	367
CLSP2744624	YP_003358146	ORF7L	Anguillid herpesvirus 1	150286	110
CLSP2744623	YP_003358145	ORF6L	Anguillid herpesvirus 1	150286	90
CLSP2744622	YP_003358144	ORF5L	Anguillid herpesvirus 1	150286	168
CLSP2744621	YP_003358142	ORF3L	Anguillid herpesvirus 1	150286	297
CLSP2744620	YP_003358141	ORF2L	Anguillid herpesvirus 1	150286	345
CLSP2744619	YP_003358140	ORF1L	Anguillid herpesvirus 1	150286	285
CLSP2744617	YP_003347335	hypothetical protein	Enterococcus phage phiFL2A	673835	80
CLSP2744616	YP_003347500	hypothetical protein	Enterococcus phage phiFL1A	673832	64
CLSP2744614	YP_003347490	hypothetical protein	Enterococcus phage phiFL1A	673832	63
CLSP2744605	YP_003347484	hypothetical protein	Enterococcus phage phiFL1A	673832	119
CLSP2744596	YP_003347467	hypothetical protein	Enterococcus phage phiFL1A	673832	57
CLSP2744595	YP_003347466	hypothetical protein	Enterococcus phage phiFL1A	673832	61
CLSP2744594	YP_003347464	hypothetical protein	Enterococcus phage phiFL1A	673832	53
CLSP2744592	YP_003347461	hypothetical protein	Enterococcus phage phiFL1A	673832	53
CLSP2744591	YP_003347460	CI phage repressor protein	Enterococcus phage phiFL1A	673832	110
CLSP2744590	YP_003347459	hypothetical protein	Enterococcus phage phiFL1A	673832	114
CLSP2744589	YP_003344910	repeat-encoded protein	Xylella phage Xfas53	670252	87
CLSP2744587	YP_003331478	hypothetical protein	Sulfolobus spindle-shaped virus 6	693627	68
CLSP2744585	YP_003331476	hypothetical protein	Sulfolobus spindle-shaped virus 6	693627	99
CLSP2744584	YP_003331426	zinc finger protein	Acidianus spindle-shaped virus 1	693629	91
CLSP2744583	YP_003331498	hypothetical protein	Sulfolobus spindle-shaped virus 7	693628	154
CLSP2744581	YP_003331417	hypothetical protein	Acidianus spindle-shaped virus 1	693629	80
CLSP2744579	YP_003800008	small T antigen	Trichodysplasia spinulosa-associated polyomavirus	862909	198
CLSP2744578	YP_003800005	structural protein VP3	Trichodysplasia spinulosa-associated polyomavirus	862909	194
CLSP2744577	YP_003800004	structural protein VP2	Trichodysplasia spinulosa-associated polyomavirus	862909	312
CLSP2744575	YP_002925129	hypothetical protein	Streptococcus phage 5093	646413	180
CLSP2744571	YP_003734322	hoc head outer capsid protein	Enterobacteria phage IME08	697227	288
CLSP2744570	YP_003858492	putative Mob-like HNH homing endonuclease	Enterobacteria phage RB16	329381	225
CLSP2744569	YP_002922087	Homing endonuclease	Enterobacteria phage JSE	576789	306
CLSP2744567	YP_003347641	hypothetical protein	Klebsiella phage KP34	674081	894
CLSP2744566	YP_002875656	hypothetical protein	Vibrio phage VP93	641832	248
CLSP2744565	YP_002875630	hypothetical protein	Vibrio phage VP93	641832	713
CLSP2744564	YP_002875629	hypothetical protein	Vibrio phage VP93	641832	193
CLSP2744563	YP_003347653	hypothetical protein	Klebsiella phage KP34	674081	191
CLSP2744562	YP_002854271	hypothetical protein	Soft-shelled turtle iridovirus	365144	91
CLSP2744561	YP_003734242	hypothetical protein	Enterobacteria phage IME08	697227	86
CLSP2744558	YP_003344960	gp25	Sodalis phage SO-1	673375	592
CLSP2744556	YP_003344941	gp6	Sodalis phage SO-1	673375	76
CLSP2744537	YP_002333640	hypothetical protein	Abalone shriveling syndrome-associated virus	491893	555
CLSP2744536	YP_002308424	hypothetical protein	Kluyvera phage Kvp1	47049	111
CLSP2744535	YP_002300374	gp18.3	Bacillus phage SPO1	10685	696
CLSP2744531	YP_002224534	gp57	Mycobacterium phage Cali	546803	95
CLSP2744528	YP_003347874	gp226	Mycobacterium phage ET08	663554	43
CLSP2744526	YP_002224560	gp87	Mycobacterium phage Cali	546803	51
CLSP2744520	YP_003857058	gp86	Mycobacterium phage CrimD	861045	133
CLSP2744519	YP_003359159	hypothetical protein	Clavibacter phage CMP1	686439	94
CLSP2744517	YP_002003449	gp91	Mycobacterium phage Predator	543153	78
CLSP2744515	YP_002003831	unknown product	Klebsiella phage K11	532077	596
CLSP2744514	YP_002003830	gp17	Klebsiella phage K11	532077	875
CLSP2744505	YP_001994851	gp34	Mycobacterium phage Pukovnik	540068	89
CLSP2744504	YP_003358726	gp24	Mycobacterium phage Peaches	663557	289
CLSP2744502	YP_001994519	gp61	Mycobacterium phage KBG	540066	43
CLSP2744501	YP_001974353	hypothetical protein	Streptococcus phage PH15	537874	57
CLSP2744500	YP_001956977	hypothetical protein	Pseudomonas phage 201phi2-1	198110	86
CLSP2744499	YP_001950012	hypothetical protein	Ralstonia phage RSL1	482058	162
CLSP2744498	YP_001949962	hypothetical protein	Ralstonia phage RSL1	482058	215
CLSP2744495	YP_002321317	thymidylate synthase/pyrimidine hydroxymethylase-like protein	Oryctes rhinoceros virus	92521	321
CLSP2744494	YP_002321322	mitochondrial carrier protein-like protein	Oryctes rhinoceros virus	92521	262
CLSP2744493	YP_002995475	hypothetical protein	Streptococcus phage M102	372457	155
CLSP2744491	YP_001883411	hypothetical protein	Musca domestica salivary gland hypertrophy virus	523909	1780
CLSP2744490	YP_001687096	hypothetical protein	Glossina pallidipes salivary gland hypertrophy virus	379529	275
CLSP2744489	YP_001687073	Cg30-like protein	Glossina pallidipes salivary gland hypertrophy virus	379529	164
CLSP2744488	YP_001687079	hypothetical protein	Glossina pallidipes salivary gland hypertrophy virus	379529	831
CLSP2744487	YP_001687071	hypothetical protein	Glossina pallidipes salivary gland hypertrophy virus	379529	156
CLSP2744486	YP_001687062	leucine rich repeat protein-like protein	Glossina pallidipes salivary gland hypertrophy virus	379529	440
CLSP2744485	YP_001687059	hypothetical protein	Glossina pallidipes salivary gland hypertrophy virus	379529	219
CLSP2744484	YP_001687056	cell division protein 48-like protein	Glossina pallidipes salivary gland hypertrophy virus	379529	545
CLSP2744483	YP_001687054	hypothetical protein	Glossina pallidipes salivary gland hypertrophy virus	379529	469
CLSP2744482	YP_001883358	hypothetical protein	Musca domestica salivary gland hypertrophy virus	523909	692
CLSP2744481	YP_001687050	per-os infectivity factor-like protein	Glossina pallidipes salivary gland hypertrophy virus	379529	652
CLSP2744480	YP_001883355	hypothetical protein	Musca domestica salivary gland hypertrophy virus	523909	169
CLSP2744479	YP_001687045	hypothetical protein	Glossina pallidipes salivary gland hypertrophy virus	379529	394
CLSP2744478	YP_001883350	hypothetical protein	Musca domestica salivary gland hypertrophy virus	523909	343
CLSP2744477	YP_001687036	hypothetical protein	Glossina pallidipes salivary gland hypertrophy virus	379529	652
CLSP2744476	YP_001687034	hypothetical protein	Glossina pallidipes salivary gland hypertrophy virus	379529	592
CLSP2744475	YP_001687030	hypothetical protein	Glossina pallidipes salivary gland hypertrophy virus	379529	159
CLSP2744474	YP_001883329	DNA polymerase	Musca domestica salivary gland hypertrophy virus	523909	977
CLSP2744473	YP_001687026	hypothetical protein	Glossina pallidipes salivary gland hypertrophy virus	379529	236
CLSP2744472	YP_001883435	hypothetical protein	Musca domestica salivary gland hypertrophy virus	523909	1125
CLSP2744471	YP_001883432	helicase-like protein	Musca domestica salivary gland hypertrophy virus	523909	770
CLSP2744470	YP_001687020	hypothetical protein	Glossina pallidipes salivary gland hypertrophy virus	379529	269
CLSP2744469	YP_001883418	hypothetical protein	Musca domestica salivary gland hypertrophy virus	523909	672
CLSP2744468	YP_001883421	hypothetical protein	Musca domestica salivary gland hypertrophy virus	523909	283
CLSP2744467	YP_001883422	hypothetical protein	Musca domestica salivary gland hypertrophy virus	523909	111
CLSP2744466	YP_001883424	hypothetical protein	Musca domestica salivary gland hypertrophy virus	523909	1473
CLSP2744465	YP_001687012	ATP-binding cassette transporter-like protein	Glossina pallidipes salivary gland hypertrophy virus	379529	595
CLSP2744464	YP_001687009	hypothetical protein	Glossina pallidipes salivary gland hypertrophy virus	379529	494
CLSP2744463	YP_001687068	hypothetical protein	Glossina pallidipes salivary gland hypertrophy virus	379529	351
CLSP2744462	YP_001883417	pif-2	Musca domestica salivary gland hypertrophy virus	523909	379
CLSP2744461	YP_001686999	core-like protein	Glossina pallidipes salivary gland hypertrophy virus	379529	660
CLSP2744460	YP_001883414	hypothetical protein	Musca domestica salivary gland hypertrophy virus	523909	381
CLSP2744459	YP_001686994	hypothetical protein	Glossina pallidipes salivary gland hypertrophy virus	379529	533
CLSP2744458	YP_001883401	hypothetical protein	Musca domestica salivary gland hypertrophy virus	523909	390
CLSP2744457	YP_001686991	hypothetical protein	Glossina pallidipes salivary gland hypertrophy virus	379529	144
CLSP2744456	YP_001883396	hypothetical protein	Musca domestica salivary gland hypertrophy virus	523909	132
CLSP2744455	YP_001883383	hypothetical protein	Musca domestica salivary gland hypertrophy virus	523909	416
CLSP2744454	YP_001883398	hypothetical protein	Musca domestica salivary gland hypertrophy virus	523909	967
CLSP2744453	YP_001883402	hypothetical protein	Musca domestica salivary gland hypertrophy virus	523909	698
CLSP2744452	YP_001883410	hypothetical protein	Musca domestica salivary gland hypertrophy virus	523909	359
CLSP2744451	YP_001687106	hypothetical protein	Glossina pallidipes salivary gland hypertrophy virus	379529	234
CLSP2744450	YP_001687003	possible surface protein	Glossina pallidipes salivary gland hypertrophy virus	379529	632
CLSP2744449	YP_001686972	hypothetical protein	Glossina pallidipes salivary gland hypertrophy virus	379529	518
CLSP2744448	YP_001686967	hypothetical protein	Glossina pallidipes salivary gland hypertrophy virus	379529	443
CLSP2744447	YP_001883374	hypothetical protein	Musca domestica salivary gland hypertrophy virus	523909	395
CLSP2744446	YP_001883375	occlusion-derived virus envelope protein	Musca domestica salivary gland hypertrophy virus	523909	700
CLSP2744445	YP_001883367	p74	Musca domestica salivary gland hypertrophy virus	523909	707
CLSP2744442	YP_003347681	hypothetical protein	Klebsiella phage KP34	674081	144
CLSP2744441	YP_003668026	transforming protein E7	Human papillomavirus type 121	915429	98
CLSP2744439	YP_001949946	hypothetical protein	Ralstonia phage RSL1	482058	361
CLSP2744438	YP_003856853	putative DNA ligase	Clostridium phage phiCTP1	871584	118
CLSP2744436	YP_002854688	hypothetical protein	Euproctis pseudoconspersa nucleopolyhedrovirus	307467	145
CLSP2744434	YP_003422446	hypothetical protein	Pseudaletia unipuncta granulovirus	36355	75
CLSP2744433	YP_001649058	Rep-like protein	Helicoverpa armigera granulovirus	489830	70
CLSP2744432	YP_001649057	Rep-like protein	Helicoverpa armigera granulovirus	489830	171
CLSP2744431	YP_003422417	hypothetical protein	Pseudaletia unipuncta granulovirus	36355	111
CLSP2744430	YP_003494844	hypothetical protein	Ostreococcus tauri virus 1	642926	267
CLSP2744429	YP_003495069	hypothetical protein	Ostreococcus tauri virus 1	642926	65
CLSP2744428	YP_003494841	hypothetical protein	Ostreococcus tauri virus 1	642926	121
CLSP2744427	YP_003495067	hypothetical protein	Ostreococcus tauri virus 1	642926	67
CLSP2744426	YP_003495065	hypothetical protein	Ostreococcus tauri virus 1	642926	165
CLSP2744425	YP_001648333	hypothetical protein	Ostreococcus virus OsV5	489089	115
CLSP2744424	YP_003495061	hypothetical protein	Ostreococcus tauri virus 1	642926	139
CLSP2744423	YP_003495060	hypothetical protein	Ostreococcus tauri virus 1	642926	74
CLSP2744422	YP_003495059	hypothetical protein	Ostreococcus tauri virus 1	642926	246
CLSP2744421	YP_001648328	hypothetical protein	Ostreococcus virus OsV5	489089	312
CLSP2744420	YP_003495055	hypothetical protein	Ostreococcus tauri virus 1	642926	125
CLSP2744419	YP_001648323	hypothetical protein	Ostreococcus virus OsV5	489089	141
CLSP2744418	YP_003495053	hypothetical protein	Ostreococcus tauri virus 1	642926	309
CLSP2744417	YP_003495052	hypothetical protein	Ostreococcus tauri virus 1	642926	112
CLSP2744416	YP_003495050	hypothetical protein	Ostreococcus tauri virus 1	642926	448
CLSP2744415	YP_003495048	hypothetical protein	Ostreococcus tauri virus 1	642926	121
CLSP2744414	YP_003495046	hypothetical protein	Ostreococcus tauri virus 1	642926	366
CLSP2744413	YP_003495045	hypothetical protein	Ostreococcus tauri virus 1	642926	333
CLSP2744412	YP_001648313	hypothetical protein	Ostreococcus virus OsV5	489089	84
CLSP2744411	YP_003495043	hypothetical protein	Ostreococcus tauri virus 1	642926	77
CLSP2744410	YP_001648310	hypothetical protein	Ostreococcus virus OsV5	489089	196
CLSP2744409	YP_001648309	hypothetical protein	Ostreococcus virus OsV5	489089	130
CLSP2744408	YP_003495039	hypothetical protein	Ostreococcus tauri virus 1	642926	142
CLSP2744407	YP_003495038	hypothetical protein	Ostreococcus tauri virus 1	642926	140
CLSP2744406	YP_001648306	hypothetical protein	Ostreococcus virus OsV5	489089	165
CLSP2744405	YP_001648304	hypothetical protein	Ostreococcus virus OsV5	489089	143
CLSP2744404	YP_003495034	hypothetical protein	Ostreococcus tauri virus 1	642926	202
CLSP2744403	YP_003495033	hypothetical protein	Ostreococcus tauri virus 1	642926	103
CLSP2744402	YP_001648300	hypothetical protein	Ostreococcus virus OsV5	489089	124
CLSP2744401	YP_001648299	hypothetical protein	Ostreococcus virus OsV5	489089	123
CLSP2744400	YP_001648298	hypothetical protein	Ostreococcus virus OsV5	489089	125
CLSP2744399	YP_003495028	hypothetical protein	Ostreococcus tauri virus 1	642926	253
CLSP2744398	YP_003495026	hypothetical protein	Ostreococcus tauri virus 1	642926	159
CLSP2744397	YP_001648291	hypothetical protein	Ostreococcus virus OsV5	489089	195
CLSP2744396	YP_003495022	hypothetical protein	Ostreococcus tauri virus 1	642926	363
CLSP2744395	YP_003495020	hypothetical protein	Ostreococcus tauri virus 1	642926	326
CLSP2744394	YP_003495019	hypothetical protein	Ostreococcus tauri virus 1	642926	189
CLSP2744393	YP_003495018	hypothetical protein	Ostreococcus tauri virus 1	642926	182
CLSP2744392	YP_003495015	hypothetical protein	Ostreococcus tauri virus 1	642926	97
CLSP2744391	YP_003495014	hypothetical protein	Ostreococcus tauri virus 1	642926	268
CLSP2744390	YP_003495013	hypothetical protein	Ostreococcus tauri virus 1	642926	118
CLSP2744389	YP_003495012	hypothetical protein	Ostreococcus tauri virus 1	642926	248
CLSP2744388	YP_003495011	hypothetical protein	Ostreococcus tauri virus 1	642926	282
CLSP2744387	YP_001648270	hypothetical protein	Ostreococcus virus OsV5	489089	199
CLSP2744386	YP_001648267	hypothetical protein	Ostreococcus virus OsV5	489089	128
CLSP2744385	YP_003495003	hypothetical protein	Ostreococcus tauri virus 1	642926	92
CLSP2744384	YP_003495001	hypothetical protein	Ostreococcus tauri virus 1	642926	633
CLSP2744383	YP_001648261	hypothetical protein	Ostreococcus virus OsV5	489089	79
CLSP2744382	YP_003494998	hypothetical protein	Ostreococcus tauri virus 1	642926	86
CLSP2744381	YP_003494997	hypothetical protein	Ostreococcus tauri virus 1	642926	198
CLSP2744380	YP_003494994	hypothetical protein	Ostreococcus tauri virus 1	642926	209
CLSP2744379	YP_003494991	hypothetical protein	Ostreococcus tauri virus 1	642926	181
CLSP2744378	YP_003494988	hypothetical protein	Ostreococcus tauri virus 1	642926	138
CLSP2744377	YP_003494985	hypothetical protein	Ostreococcus tauri virus 1	642926	137
CLSP2744376	YP_001648245	hypothetical protein	Ostreococcus virus OsV5	489089	416
CLSP2744375	YP_003494983	hypothetical protein	Ostreococcus tauri virus 1	642926	90
CLSP2744374	YP_001687066	hypothetical protein	Glossina pallidipes salivary gland hypertrophy virus	379529	82
CLSP2744373	YP_003494980	hypothetical protein	Ostreococcus tauri virus 1	642926	76
CLSP2744372	YP_003494978	hypothetical protein	Ostreococcus tauri virus 1	642926	231
CLSP2744371	YP_003494979	hypothetical protein	Ostreococcus tauri virus 1	642926	285
CLSP2744370	YP_003494977	hypothetical protein	Ostreococcus tauri virus 1	642926	162
CLSP2744369	YP_001648234	hypothetical protein	Ostreococcus virus OsV5	489089	126
CLSP2744368	YP_001648233	hypothetical protein	Ostreococcus virus OsV5	489089	119
CLSP2744367	YP_003494973	hypothetical protein	Ostreococcus tauri virus 1	642926	76
CLSP2744366	YP_003494971	hypothetical protein	Ostreococcus tauri virus 1	642926	203
CLSP2744365	YP_003494970	hypothetical protein	Ostreococcus tauri virus 1	642926	103
CLSP2744364	YP_003494967	hypothetical protein	Ostreococcus tauri virus 1	642926	83
CLSP2744363	YP_003494966	hypothetical protein	Ostreococcus tauri virus 1	642926	517
CLSP2744362	YP_003407026	SWIB/MDM2 domain-containing protein	Marseillevirus	694581	227
CLSP2744361	YP_003494962	hypothetical protein	Ostreococcus tauri virus 1	642926	87
CLSP2744360	YP_003494961	hypothetical protein	Ostreococcus tauri virus 1	642926	463
CLSP2744359	YP_003494960	hypothetical protein	Ostreococcus tauri virus 1	642926	171
CLSP2744358	YP_003494958	hypothetical protein	Ostreococcus tauri virus 1	642926	125
CLSP2744357	YP_003494957	hypothetical protein	Ostreococcus tauri virus 1	642926	140
CLSP2744356	YP_001648213	hypothetical protein	Ostreococcus virus OsV5	489089	393
CLSP2744355	YP_003494953	hypothetical protein	Ostreococcus tauri virus 1	642926	79
CLSP2744354	YP_001648208	hypothetical protein	Ostreococcus virus OsV5	489089	368
CLSP2744353	YP_003494951	hypothetical protein	Ostreococcus tauri virus 1	642926	426
CLSP2744352	YP_003494949	hypothetical protein	Ostreococcus tauri virus 1	642926	93
CLSP2744351	YP_003494947	hypothetical protein	Ostreococcus tauri virus 1	642926	199
CLSP2744350	YP_001648191	hypothetical protein	Ostreococcus virus OsV5	489089	140
CLSP2744349	YP_003494944	hypothetical protein	Ostreococcus tauri virus 1	642926	188
CLSP2744348	YP_003494943	hypothetical protein	Ostreococcus tauri virus 1	642926	125
CLSP2744347	YP_003494942	hypothetical protein	Ostreococcus tauri virus 1	642926	284
CLSP2744346	YP_003494941	hypothetical protein	Ostreococcus tauri virus 1	642926	73
CLSP2744345	YP_003494940	hypothetical protein	Ostreococcus tauri virus 1	642926	161
CLSP2744344	YP_001648184	hypothetical protein	Ostreococcus virus OsV5	489089	88
CLSP2744343	YP_003494937	hypothetical protein	Ostreococcus tauri virus 1	642926	378
CLSP2744342	YP_003494936	hypothetical protein	Ostreococcus tauri virus 1	642926	326
CLSP2744341	YP_003494935	hypothetical protein	Ostreococcus tauri virus 1	642926	98
CLSP2744340	YP_003494934	hypothetical protein	Ostreococcus tauri virus 1	642926	149
CLSP2744339	YP_003494929	hypothetical protein	Ostreococcus tauri virus 1	642926	166
CLSP2744338	YP_003494928	hypothetical protein	Ostreococcus tauri virus 1	642926	139
CLSP2744337	YP_003494927	hypothetical protein	Ostreococcus tauri virus 1	642926	142
CLSP2744336	YP_001648170	hypothetical protein	Ostreococcus virus OsV5	489089	237
CLSP2744335	YP_003494925	hypothetical protein	Ostreococcus tauri virus 1	642926	345
CLSP2744334	YP_003494923	hypothetical protein	Ostreococcus tauri virus 1	642926	99
CLSP2744333	YP_003494922	hypothetical protein	Ostreococcus tauri virus 1	642926	94
CLSP2744332	YP_003494920	hypothetical protein	Ostreococcus tauri virus 1	642926	86
